;Id;N_victimas;A�o;Mes;Dia;Hora;Calle;Altura;Cruce;Direcci�n;Comuna;Latitud;Longitud;Victima;Acusado
248;2017-0130;1.0;2017.0;10.0;27.0;5.0;CHORROARIN;;SAN MARTIN AV.;CHORROARIN y SAN MARTIN AV.;15.0;-58.47883099;-34.59967065;AUTO;CARGAS
249;2017-0132;1.0;2017.0;10.0;30.0;14.0;COSQUIN;;ROCA, CNEL. AV.;COSQUIN y ROCA, CNEL. AV.;8.0;-58.46552171;-34.6937413;MOTO;PASAJEROS
250;2017-0134;1.0;2017.0;11.0;6.0;18.0;ROCA, CNEL. AV.;3555.0;SD;ROCA, CNEL. AV. 3555;8.0;-58.4423972;-34.66777987;PEATON;PASAJEROS
251;2017-0135;1.0;2017.0;11.0;7.0;12.0;WARNES AV.;;PUNTA ARENAS;WARNES AV. y PUNTA ARENAS;15.0;-58.47032551;-34.59626814;MOTO;CARGAS
252;2017-0136;1.0;2017.0;11.0;16.0;8.0;BARCO CENTENERA DEL;;RABANAL, FRANCISCO, INTENDENTE AV.;BARCO CENTENERA DEL y RABANAL, FRANCISCO, INTENDENTE AV.;4.0;-58.41827843;-34.65522746;PEATON;PASAJEROS
253;2017-0137;1.0;2017.0;11.0;17.0;11.0;MOSCONI GENERAL AV.;;SAN NICOLAS;MOSCONI GENERAL AV. y SAN NICOLAS;11.0;-58.51280715;-34.59279388;PEATON;CARGAS
254;2017-0138;1.0;2017.0;11.0;19.0;10.0;LAFUENTE AV.;;PERON, EVA AV.;LAFUENTE AV. y PERON, EVA AV.;7.0;-58.46258582;-34.64385704;MOTO;OBJETO FIJO
255;2017-0139;1.0;2017.0;11.0;19.0;22.0;ROCA, CNEL. AV.;;ESCALADA AV.;ROCA, CNEL. AV. y ESCALADA AV.;8.0;-58.45064148;-34.68003614;AUTO;OBJETO FIJO
257;2017-0141;1.0;2017.0;11.0;23.0;19.0;LA PLATA AV.;;GOYENA, PEDRO AV.;LA PLATA AV. y GOYENA, PEDRO AV.;6.0;-58.42717783;-34.62513374;PEATON;PASAJEROS
258;2017-0143;1.0;2017.0;11.0;25.0;21.0;TRELLES, MANUEL R.;;DIAZ, CESAR, GRAL.;TRELLES, MANUEL R. y DIAZ, CESAR, GRAL.;11.0;-58.46442001;-34.60724519;AUTO;PASAJEROS
259;2017-0144;1.0;2017.0;11.0;26.0;6.0;ROCA, CNEL. AV.;;PAZ, GRAL. AV.;ROCA, CNEL. AV. y PAZ, GRAL. AV.;8.0;-58.47064556;-34.69843756;AUTO;OBJETO FIJO
260;2017-0145;1.0;2017.0;11.0;26.0;17.0;MAZA;;DON BOSCO;MAZA y DON BOSCO;5.0;-58.41677733;-34.61223119;MOTO;AUTO
